2025-04-03 16:23:33 startup archives unpack
2025-04-03 16:23:33 upgrade libc6:amd64 2.36-9+deb12u9 2.36-9+deb12u10
2025-04-03 16:23:33 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-04-03 16:23:33 status half-configured libc6:amd64 2.36-9+deb12u9
2025-04-03 16:23:33 status unpacked libc6:amd64 2.36-9+deb12u9
2025-04-03 16:23:33 status half-installed libc6:amd64 2.36-9+deb12u9
2025-04-03 16:23:33 status unpacked libc6:amd64 2.36-9+deb12u10
2025-04-03 16:23:33 startup packages configure
2025-04-03 16:23:33 configure libc6:amd64 2.36-9+deb12u10 <none>
2025-04-03 16:23:33 status unpacked libc6:amd64 2.36-9+deb12u10
2025-04-03 16:23:33 status half-configured libc6:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 status installed libc6:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 startup archives unpack
2025-04-03 16:23:34 upgrade libc-bin:amd64 2.36-9+deb12u9 2.36-9+deb12u10
2025-04-03 16:23:34 status half-configured libc-bin:amd64 2.36-9+deb12u9
2025-04-03 16:23:34 status unpacked libc-bin:amd64 2.36-9+deb12u9
2025-04-03 16:23:34 status half-installed libc-bin:amd64 2.36-9+deb12u9
2025-04-03 16:23:34 status unpacked libc-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 startup packages configure
2025-04-03 16:23:34 configure libc-bin:amd64 2.36-9+deb12u10 <none>
2025-04-03 16:23:34 status unpacked libc-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 status half-configured libc-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 status installed libc-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:34 startup archives unpack
2025-04-03 16:23:35 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2025-04-03 16:23:35 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2025-04-03 16:23:35 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2025-04-03 16:23:35 install libgdbm6:amd64 <none> 1.23-3
2025-04-03 16:23:35 status triggers-pending libc-bin:amd64 2.36-9+deb12u10
2025-04-03 16:23:35 status half-installed libgdbm6:amd64 1.23-3
2025-04-03 16:23:35 status unpacked libgdbm6:amd64 1.23-3
2025-04-03 16:23:35 install libgdbm-compat4:amd64 <none> 1.23-3
2025-04-03 16:23:35 status half-installed libgdbm-compat4:amd64 1.23-3
2025-04-03 16:23:35 status unpacked libgdbm-compat4:amd64 1.23-3
2025-04-03 16:23:35 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2025-04-03 16:23:35 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2025-04-03 16:23:35 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2025-04-03 16:23:35 install perl:amd64 <none> 5.36.0-7+deb12u1
2025-04-03 16:23:35 status half-installed perl:amd64 5.36.0-7+deb12u1
2025-04-03 16:23:35 status unpacked perl:amd64 5.36.0-7+deb12u1
2025-04-03 16:23:35 install libmpfr6:amd64 <none> 4.2.0-1
2025-04-03 16:23:35 status half-installed libmpfr6:amd64 4.2.0-1
2025-04-03 16:23:35 status unpacked libmpfr6:amd64 4.2.0-1
2025-04-03 16:23:35 install readline-common:all <none> 8.2-1.3
2025-04-03 16:23:35 status half-installed readline-common:all 8.2-1.3
2025-04-03 16:23:35 status unpacked readline-common:all 8.2-1.3
2025-04-03 16:23:35 install libreadline8:amd64 <none> 8.2-1.3
2025-04-03 16:23:35 status half-installed libreadline8:amd64 8.2-1.3
2025-04-03 16:23:36 status unpacked libreadline8:amd64 8.2-1.3
2025-04-03 16:23:36 install libsigsegv2:amd64 <none> 2.14-1
2025-04-03 16:23:36 status half-installed libsigsegv2:amd64 2.14-1
2025-04-03 16:23:36 status unpacked libsigsegv2:amd64 2.14-1
2025-04-03 16:23:36 startup packages configure
2025-04-03 16:23:36 configure libmpfr6:amd64 4.2.0-1 <none>
2025-04-03 16:23:36 status unpacked libmpfr6:amd64 4.2.0-1
2025-04-03 16:23:36 status half-configured libmpfr6:amd64 4.2.0-1
2025-04-03 16:23:36 status installed libmpfr6:amd64 4.2.0-1
2025-04-03 16:23:36 configure readline-common:all 8.2-1.3 <none>
2025-04-03 16:23:36 status unpacked readline-common:all 8.2-1.3
2025-04-03 16:23:36 status half-configured readline-common:all 8.2-1.3
2025-04-03 16:23:36 status installed readline-common:all 8.2-1.3
