LAST SEEN   TYPE      REASON              OBJECT                        MESSAGE
10m         Normal    Scheduled           pod/nginx-5696bc6558-4fb6h    Successfully assigned default/nginx-5696bc6558-4fb6h to minikube
10m         Normal    Pulled              pod/nginx-5696bc6558-4fb6h    Container image "wojzacharski/nginx-app:1.1" already present on machine
10m         Normal    Created             pod/nginx-5696bc6558-4fb6h    Created container: nginx-app
10m         Normal    Started             pod/nginx-5696bc6558-4fb6h    Started container nginx-app
30m         Normal    Scheduled           pod/nginx-5696bc6558-4nk7d    Successfully assigned default/nginx-5696bc6558-4nk7d to minikube
30m         Normal    Pulling             pod/nginx-5696bc6558-4nk7d    Pulling image "wojzacharski/nginx-app:1.1"
29m         Normal    Pulled              pod/nginx-5696bc6558-4nk7d    Successfully pulled image "wojzacharski/nginx-app:1.1" in 2.267s (2.267s including waiting). Image size: 48240154 bytes.
29m         Normal    Created             pod/nginx-5696bc6558-4nk7d    Created container: nginx-app
29m         Normal    Started             pod/nginx-5696bc6558-4nk7d    Started container nginx-app
28m         Normal    Killing             pod/nginx-5696bc6558-4nk7d    Stopping container nginx-app
29m         Normal    Scheduled           pod/nginx-5696bc6558-6bs4c    Successfully assigned default/nginx-5696bc6558-6bs4c to minikube
29m         Normal    Pulled              pod/nginx-5696bc6558-6bs4c    Container image "wojzacharski/nginx-app:1.1" already present on machine
29m         Normal    Created             pod/nginx-5696bc6558-6bs4c    Created container: nginx-app
29m         Normal    Started             pod/nginx-5696bc6558-6bs4c    Started container nginx-app
28m         Normal    Killing             pod/nginx-5696bc6558-6bs4c    Stopping container nginx-app
10m         Normal    Scheduled           pod/nginx-5696bc6558-75xm7    Successfully assigned default/nginx-5696bc6558-75xm7 to minikube
10m         Normal    Pulled              pod/nginx-5696bc6558-75xm7    Container image "wojzacharski/nginx-app:1.1" already present on machine
10m         Normal    Created             pod/nginx-5696bc6558-75xm7    Created container: nginx-app
10m         Normal    Started             pod/nginx-5696bc6558-75xm7    Started container nginx-app
29m         Normal    Scheduled           pod/nginx-5696bc6558-9hj6m    Successfully assigned default/nginx-5696bc6558-9hj6m to minikube
29m         Normal    Pulled              pod/nginx-5696bc6558-9hj6m    Container image "wojzacharski/nginx-app:1.1" already present on machine
29m         Normal    Created             pod/nginx-5696bc6558-9hj6m    Created container: nginx-app
29m         Normal    Started             pod/nginx-5696bc6558-9hj6m    Started container nginx-app
28m         Normal    Killing             pod/nginx-5696bc6558-9hj6m    Stopping container nginx-app
25m         Normal    Scheduled           pod/nginx-5696bc6558-b4mhh    Successfully assigned default/nginx-5696bc6558-b4mhh to minikube
25m         Normal    Pulled              pod/nginx-5696bc6558-b4mhh    Container image "wojzacharski/nginx-app:1.1" already present on machine
25m         Normal    Created             pod/nginx-5696bc6558-b4mhh    Created container: nginx-app
25m         Normal    Started             pod/nginx-5696bc6558-b4mhh    Started container nginx-app
22m         Normal    Killing             pod/nginx-5696bc6558-b4mhh    Stopping container nginx-app
25m         Normal    Scheduled           pod/nginx-5696bc6558-gjp5h    Successfully assigned default/nginx-5696bc6558-gjp5h to minikube
25m         Normal    Pulled              pod/nginx-5696bc6558-gjp5h    Container image "wojzacharski/nginx-app:1.1" already present on machine
25m         Normal    Created             pod/nginx-5696bc6558-gjp5h    Created container: nginx-app
25m         Normal    Started             pod/nginx-5696bc6558-gjp5h    Started container nginx-app
22m         Normal    Killing             pod/nginx-5696bc6558-gjp5h    Stopping container nginx-app
25m         Normal    Scheduled           pod/nginx-5696bc6558-mh94g    Successfully assigned default/nginx-5696bc6558-mh94g to minikube
25m         Normal    Pulled              pod/nginx-5696bc6558-mh94g    Container image "wojzacharski/nginx-app:1.1" already present on machine
25m         Normal    Created             pod/nginx-5696bc6558-mh94g    Created container: nginx-app
25m         Normal    Started             pod/nginx-5696bc6558-mh94g    Started container nginx-app
22m         Normal    Killing             pod/nginx-5696bc6558-mh94g    Stopping container nginx-app
10m         Normal    Scheduled           pod/nginx-5696bc6558-smsvp    Successfully assigned default/nginx-5696bc6558-smsvp to minikube
10m         Normal    Pulled              pod/nginx-5696bc6558-smsvp    Container image "wojzacharski/nginx-app:1.1" already present on machine
10m         Normal    Created             pod/nginx-5696bc6558-smsvp    Created container: nginx-app
10m         Normal    Started             pod/nginx-5696bc6558-smsvp    Started container nginx-app
10m         Normal    Scheduled           pod/nginx-5696bc6558-vrz97    Successfully assigned default/nginx-5696bc6558-vrz97 to minikube
10m         Normal    Pulled              pod/nginx-5696bc6558-vrz97    Container image "wojzacharski/nginx-app:1.1" already present on machine
10m         Normal    Created             pod/nginx-5696bc6558-vrz97    Created container: nginx-app
10m         Normal    Started             pod/nginx-5696bc6558-vrz97    Started container nginx-app
30m         Normal    Scheduled           pod/nginx-5696bc6558-xk5tj    Successfully assigned default/nginx-5696bc6558-xk5tj to minikube
30m         Normal    Pulling             pod/nginx-5696bc6558-xk5tj    Pulling image "wojzacharski/nginx-app:1.1"
